id,maHV,name,phone,dob,gender,idNumber,address,queQuan,ngayCapCCCD,noiCapCCCD,classId,licence,feePlanId,promotionId,totalFee,profileComplete,responsibleStaffId,branchId,createdAt,docs_cccd,docs_gksk,docs_donDeNghi,docs_the3x4,notes
hv-011,HV011,Will Smith,079 304 447,11/10/1989,Nam,0790894711552,"205/28 Phan Đăng Lưu, Q.Gò Vấp, TP.HCM",Khánh Hòa,05/10/2019,Cục CS QLHC về TTXH,cls-2025-01-01-2,A,fee-a,promo-none,1995000,false,u-3,br-2,27/12/2024 13:11:28,true,true,true,false,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tâm lý ổn định khi đi đường thật.
hv-012,HV012,Lý Hải,084 936 710,11/12/1991,Nam,0790918926916,"334/6 Lê Lợi, Q.1, TP.HCM",An Giang,28/04/2024,Cục CS QLHC về TTXH,cls-2025-01-02-2,A1,fee-a1,promo-none,565000,true,u-3,br-2,11/12/2024 13:29:39,true,true,true,true,"Đã đóng đợt 1. Còn lại 282,500đ. Cần luyện thêm bài đường thẳng và số 1 chậm."
hv-013,HV013,Đoàn Văn Hậu,038 982 439,25/07/2008,Nam,0791084083352,"8/5 Xô Viết Nghệ Tĩnh, H.Bình Chánh, TP.HCM",Bà Rịa - Vũng Tàu,22/11/2024,Cục CS QLHC về TTXH,cls-2025-01-02-2,A1,fee-a1,promo-none,565000,true,u-4,br-2,23/12/2024 17:04:29,true,true,true,true,"Chưa thanh toán. Liên hệ lại trước ngày thi. Vào bài hình số 8 còn rộng, cần thu hẹp."
hv-014,HV014,Park Shin-hye,090 633 410,27/02/2006,Nữ,0791063054418,"373/21 Đồng Khởi, Q.Gò Vấp, TP.HCM",Long An,05/07/2024,Cục CS QLHC về TTXH,cls-2025-01-02-2,A,fee-a,promo-none,1995000,true,u-3,br-2,01/01/2025 12:28:22,true,true,true,true,Chưa thanh toán. Liên hệ lại trước ngày thi. Tay lái còn run khi vào cua hẹp.
hv-015,HV015,Keanu Reeves,079 848 673,08/05/2005,Nam,0791054937086,"158/15 Nguyễn Trãi, Q.2, TP.HCM",Huế,11/12/2019,Cục CS QLHC về TTXH,cls-2025-01-02-2,A,fee-a,promo-none,1995000,true,u-4,br-2,17/12/2024 11:14:42,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-016,HV016,Đặng Văn Lâm,093 707 847,17/10/2008,Nam,0791087312549,"345/14 Cách Mạng Tháng 8, Q.12, TP.HCM",Huế,28/07/2022,Cục CS QLHC về TTXH,cls-2025-01-01-3,A,fee-a,promo-none,1995000,true,u-5,br-3,02/01/2025 11:54:08,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-017,HV017,Sa Tăng,037 844 816,19/12/1995,Nam,0790955020188,"23/30 Trần Hưng Đạo, Q.Tân Phú, TP.HCM",Thanh Hóa,26/05/2023,Cục CS QLHC về TTXH,cls-2025-01-01-3,A,fee-a,promo-none,1995000,true,u-5,br-3,30/12/2024 14:59:05,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện đề lý thuyết phần biển báo.
hv-018,HV018,Chu Du,078 343 565,12/11/2005,Nam,0791053368214,"341/5 Lê Hồng Phong, Q.Thủ Đức, TP.HCM",Phú Yên,18/12/2018,Cục CS QLHC về TTXH,cls-2025-02-01-1,A1,fee-a1,promo-none,565000,false,u-2,br-1,14/02/2025 12:08:48,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-019,HV019,Mỹ Tâm,037 868 964,04/03/2001,Nữ,0791014927698,"53/9 Nguyễn Đình Chiểu, Q.Bình Thạnh, TP.HCM",Thanh Hóa,05/12/2021,Cục CS QLHC về TTXH,cls-2025-02-01-1,A1,fee-a1,promo-none,565000,true,u-2,br-1,30/01/2025 10:44:14,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-020,HV020,Hương Tràm,090 153 531,24/02/2007,Nữ,0791078612538,"177/16 Nguyễn Văn Linh, Q.Bình Thạnh, TP.HCM",Nghệ An,18/05/2024,Cục CS QLHC về TTXH,cls-2025-02-01-1,A1,fee-a1,promo-link,365000,true,u-2,br-1,23/01/2025 14:23:49,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện đề lý thuyết phần biển báo.
hv-021,HV021,Jackie Chan,089 715 463,27/01/1997,Nam,0790976579713,"77/25 Võ Văn Tần, Q.3, TP.HCM",Bến Tre,26/11/2022,Cục CS QLHC về TTXH,cls-2025-02-02-1,A,fee-a,promo-loyalty,1895000,true,u-1,br-1,19/01/2025 12:30:20,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Phản ứng nhanh với tình huống bất ngờ.
hv-022,HV022,Lan Khuê,097 554 291,03/06/1995,Nữ,0790956777014,"94/22 Cộng Hòa, Q.Tân Bình, TP.HCM",Đà Nẵng,01/02/2019,Cục CS QLHC về TTXH,cls-2025-02-02-1,A1,fee-a1,promo-none,565000,true,u-2,br-1,07/02/2025 13:28:30,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-023,HV023,Lady Gaga,098 942 460,03/08/1993,Nữ,0790935520714,"248/27 Hai Bà Trưng, Q.Tân Bình, TP.HCM",Thanh Hóa,18/03/2022,Cục CS QLHC về TTXH,cls-2025-02-02-1,A1,fee-a1,promo-none,565000,false,u-2,br-1,03/02/2025 08:15:17,true,true,true,false,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần đeo kính khi học vì hơi cận.
hv-024,HV024,Bạch Cốt Tinh,093 310 186,10/05/1998,Nữ,0790987383487,"220/22 Nguyễn Trãi, Q.Thủ Đức, TP.HCM",Nam Định,15/01/2019,Cục CS QLHC về TTXH,cls-2025-02-01-2,A,fee-a,promo-none,1995000,true,u-4,br-2,03/02/2025 08:40:24,true,true,true,true,"Đã đóng đợt 1. Còn lại 997,500đ. Tay lái còn run khi vào cua hẹp."
hv-025,HV025,Jin (BTS),079 303 198,29/11/1997,Nam,0790971388565,"18/24 Quang Trung, Q.Thủ Đức, TP.HCM",Phú Yên,19/01/2020,Cục CS QLHC về TTXH,cls-2025-02-01-2,A,fee-a,promo-loyalty,1895000,true,u-3,br-2,01/02/2025 14:48:56,true,true,true,true,"Đã đóng đợt 1. Còn lại 947,500đ. Tâm lý ổn định khi đi đường thật."
hv-026,HV026,Bùi Tiến Dũng,083 205 792,27/12/1989,Nam,0790896357535,"133/24 Cách Mạng Tháng 8, Q.12, TP.HCM",Cần Thơ,11/09/2024,Cục CS QLHC về TTXH,cls-2025-02-01-3,A,fee-a,promo-summer,1845000,true,u-6,br-3,13/01/2025 16:44:41,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Hay quên xi-nhan khi rẽ phải. Đã được nhắc.
hv-027,HV027,Tiến Linh,086 895 271,08/11/2002,Nam,0791022502097,"69/6 Trường Sa, Q.3, TP.HCM",Hải Phòng,13/05/2024,Cục CS QLHC về TTXH,cls-2025-02-01-3,A1,fee-a1,promo-none,565000,true,u-5,br-3,16/02/2025 12:59:06,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện đề lý thuyết phần biển báo.
hv-028,HV028,Công Phượng,098 180 416,30/11/1994,Nam,0790944494903,"193/18 Nguyễn Đình Chiểu, Q.Bình Thạnh, TP.HCM",Hải Phòng,11/01/2023,Cục CS QLHC về TTXH,cls-2025-03-01-1,A1,fee-a1,promo-none,565000,true,u-2,br-1,19/02/2025 13:23:56,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
hv-029,HV029,Beyoncé Knowles,038 441 371,17/10/1990,Nữ,0790901801785,"203/24 Nguyễn Văn Trỗi, Q.7, TP.HCM",Đồng Nai,16/04/2023,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,true,u-2,br-1,26/02/2025 10:17:58,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tâm lý ổn định khi đi đường thật.
hv-030,HV030,Bích Phương,098 436 711,16/04/1991,Nữ,0790917363036,"104/26 Đồng Khởi, H.Bình Chánh, TP.HCM",Nam Định,23/02/2021,Cục CS QLHC về TTXH,cls-2025-03-01-1,A1,fee-a1,promo-none,565000,false,u-1,br-1,28/02/2025 16:26:43,true,true,true,false,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
hv-031,HV031,Hồng Kim Bảo,093 619 532,21/12/1995,Nam,0790957828047,"338/22 Nguyễn Thị Minh Khai, Q.8, TP.HCM",Thanh Hóa,14/02/2022,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-loyalty,1895000,true,u-1,br-1,14/03/2025 12:46:43,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện thêm bài đường thẳng và số 1 chậm.
hv-032,HV032,Trương Quốc Vinh,037 936 519,23/07/1988,Nam,0790884433469,"107/5 Nguyễn Hữu Cảnh, Q.Tân Bình, TP.HCM",Bình Dương,05/05/2019,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,true,u-2,br-1,05/03/2025 12:44:10,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Hay quên xi-nhan khi rẽ phải. Đã được nhắc.
hv-033,HV033,Binz,082 845 648,26/05/2008,Nam,0791086583193,"110/16 Trường Sa, Q.2, TP.HCM",Bình Dương,27/07/2019,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-sgnv,1695000,true,u-1,br-1,12/02/2025 14:07:51,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
hv-034,HV034,Đặng Thu Thảo,081 618 321,24/12/2005,Nữ,0791053606136,"346/27 Cộng Hòa, Q.Tân Bình, TP.HCM",Long An,09/10/2024,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,false,u-1,br-1,26/02/2025 17:05:41,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tâm lý ổn định khi đi đường thật.
hv-035,HV035,Hoàng Dũng,088 715 248,26/01/2008,Nam,0791088163284,"210/3 Bạch Đằng, Q.8, TP.HCM",Bình Dương,17/02/2018,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,false,u-2,br-1,14/02/2025 13:00:35,true,true,true,false,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Vào bài hình số 8 còn rộng, cần thu hẹp."
hv-036,HV036,Vinícius Júnior,096 368 362,10/03/2008,Nam,0791081907411,"14/4 Lý Thường Kiệt, Q.Thủ Đức, TP.HCM",Long An,08/12/2023,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,false,u-2,br-1,12/02/2025 16:05:52,true,true,true,false,"Đã đóng đợt 1. Còn lại 997,500đ. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-037,HV037,Đoàn Văn Trường,097 722 929,22/01/2008,Nam,0791083546983,"259/12 Lê Lai, Q.1, TP.HCM",Huế,10/10/2022,Cục CS QLHC về TTXH,cls-2025-03-01-1,A1,fee-a1,promo-none,565000,true,u-1,br-1,15/02/2025 17:50:40,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-038,HV038,The Weeknd,096 442 632,08/07/2003,Nam,0791032304688,"24/23 Bạch Đằng, Q.Bình Thạnh, TP.HCM",Đồng Tháp,17/09/2019,Cục CS QLHC về TTXH,cls-2025-03-01-1,A1,fee-a1,promo-none,565000,false,u-2,br-1,13/03/2025 08:41:02,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Phản ứng nhanh với tình huống bất ngờ.
hv-039,HV039,Taylor Swift,084 887 824,10/09/1999,Nữ,0790991932737,"337/14 Lê Lợi, Q.1, TP.HCM",Sóc Trăng,09/09/2024,Cục CS QLHC về TTXH,cls-2025-03-01-1,A1,fee-a1,promo-summer,415000,true,u-1,br-1,13/02/2025 15:43:57,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-040,HV040,Quang Hải,085 683 116,30/10/1995,Nam,0790952289969,"227/24 Lê Hồng Phong, Q.1, TP.HCM",Lâm Đồng,04/03/2023,Cục CS QLHC về TTXH,cls-2025-03-01-1,A,fee-a,promo-none,1995000,true,u-2,br-1,16/03/2025 12:17:31,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
hv-041,HV041,Hoa Mộc Lan,084 404 534,07/04/2000,Nữ,0791002381541,"371/16 Cách Mạng Tháng 8, Q.7, TP.HCM",Hà Nội,05/12/2024,Cục CS QLHC về TTXH,cls-2025-03-02-1,A1,fee-a1,promo-summer,415000,true,u-2,br-1,14/03/2025 12:41:48,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện đề lý thuyết phần biển báo.
hv-042,HV042,Paul Pogba,056 120 918,17/01/2001,Nam,0791015769247,"78/22 Nguyễn Trãi, Q.Tân Bình, TP.HCM",Khánh Hòa,23/03/2020,Cục CS QLHC về TTXH,cls-2025-03-02-1,A1,fee-a1,promo-none,565000,true,u-1,br-1,17/02/2025 11:29:40,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Vào bài hình số 8 còn rộng, cần thu hẹp."
hv-043,HV043,Tự Long,084 248 899,04/08/1993,Nam,0790932773851,"283/30 Nguyễn Đình Chiểu, Q.1, TP.HCM",Tiền Giang,14/03/2023,Cục CS QLHC về TTXH,cls-2025-03-02-1,A1,fee-a1,promo-none,565000,true,u-2,br-1,22/02/2025 13:04:11,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tâm lý ổn định khi đi đường thật.
hv-044,HV044,Khánh Linh,085 737 410,04/02/1997,Nữ,0790972510853,"375/9 Xô Viết Nghệ Tĩnh, H.Bình Chánh, TP.HCM",Thái Bình,18/01/2019,Cục CS QLHC về TTXH,cls-2025-03-02-1,A1,fee-a1,promo-link,365000,true,u-1,br-1,14/03/2025 10:46:14,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Tư thế ngồi chưa thoải mái — đang điều chỉnh.
hv-045,HV045,Khang Hi,089 512 220,21/09/1991,Nam,0790913178746,"258/10 Cách Mạng Tháng 8, Q.Thủ Đức, TP.HCM",Huế,09/06/2018,Cục CS QLHC về TTXH,cls-2025-03-02-1,A,fee-a,promo-none,1995000,true,u-1,br-1,25/02/2025 14:25:44,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Bài đường gồ ghề lái chắc tay.
hv-046,HV046,Trấn Thành,096 558 647,01/09/1994,Nam,0790941307172,"352/25 Nguyễn Đình Chiểu, Q.5, TP.HCM",Tiền Giang,10/12/2020,Cục CS QLHC về TTXH,cls-2025-03-02-1,A1,fee-a1,promo-none,565000,true,u-1,br-1,19/02/2025 15:58:14,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Vào bài hình số 8 còn rộng, cần thu hẹp."
hv-047,HV047,Quang Lê,076 273 263,15/08/1989,Nam,0790892907324,"104/18 Phan Xích Long, Q.5, TP.HCM",Bến Tre,06/10/2020,Cục CS QLHC về TTXH,cls-2025-03-03-1,A1,fee-a1,promo-none,565000,true,u-1,br-1,12/02/2025 13:11:56,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Vào bài hình số 8 còn rộng, cần thu hẹp."
hv-048,HV048,Bảo Thanh,037 378 374,28/08/1995,Nữ,0790958211450,"277/27 Pasteur, Q.Gò Vấp, TP.HCM",Hải Phòng,13/09/2024,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-none,1995000,false,u-2,br-1,16/02/2025 12:08:57,true,true,true,true,"Đăng ký trước, đóng đủ sau. Đúng tiến độ. Tay lái còn run khi vào cua hẹp."
hv-049,HV049,Son Heung-min,056 112 780,28/04/2005,Nam,0791051279888,"182/26 Nguyễn Hữu Cảnh, Q.8, TP.HCM",Quảng Ngãi,13/11/2022,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-none,1995000,true,u-1,br-1,28/02/2025 17:00:32,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện thêm bài đường thẳng và số 1 chậm.
hv-050,HV050,Park Bo-gum,035 554 583,24/07/1988,Nam,0790885629775,"230/23 Lý Thường Kiệt, Q.1, TP.HCM",Ninh Bình,16/09/2018,Cục CS QLHC về TTXH,cls-2025-03-03-1,A1,fee-a1,promo-link,365000,false,u-1,br-1,28/02/2025 16:22:51,true,false,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
hv-051,HV051,Thùy Tiên,058 783 635,25/07/2008,Nữ,0791083065964,"287/30 Võ Văn Tần, H.Bình Chánh, TP.HCM",Đồng Tháp,19/07/2022,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-none,1995000,true,u-1,br-1,17/03/2025 17:55:07,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-052,HV052,Tào Tháo,078 809 543,02/02/2005,Nam,0791053739563,"348/3 Nguyễn Văn Linh, Q.7, TP.HCM",Hà Tĩnh,11/03/2021,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-loyalty,1895000,true,u-2,br-1,22/02/2025 10:24:42,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Bài đường gồ ghề lái chắc tay.
hv-053,HV053,Nguyễn Văn Quyết,084 148 943,16/08/2001,Nam,0791014780179,"139/7 Lý Thường Kiệt, Q.10, TP.HCM",Cần Thơ,24/05/2021,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-none,1995000,true,u-2,br-1,15/03/2025 15:20:48,true,true,true,true,"Đăng ký trước, đóng đủ sau. Đúng tiến độ. Hay quên xi-nhan khi rẽ phải. Đã được nhắc."
hv-054,HV054,Min,078 712 558,22/12/1990,Nữ,0790908580335,"230/17 Nguyễn Thị Minh Khai, Q.5, TP.HCM",Thanh Hóa,09/05/2024,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-none,1995000,true,u-1,br-1,23/02/2025 08:45:25,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-055,HV055,Lee Kang-in,089 875 743,26/08/1989,Nam,0790896185725,"335/21 Đồng Khởi, Q.2, TP.HCM",Bạc Liêu,02/06/2021,Cục CS QLHC về TTXH,cls-2025-03-03-1,A1,fee-a1,promo-none,565000,false,u-2,br-1,16/03/2025 10:55:35,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Lo lắng trước ngày thi — cần động viên.
hv-056,HV056,Đen Vâu,039 391 889,31/08/2003,Nam,0791039755941,"79/17 Cộng Hòa, Q.3, TP.HCM",An Giang,20/09/2018,Cục CS QLHC về TTXH,cls-2025-03-03-1,A,fee-a,promo-loyalty,1895000,true,u-2,br-1,02/03/2025 10:05:08,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Cần luyện thêm bài đường thẳng và số 1 chậm.
hv-057,HV057,Neymar Jr,093 124 283,24/03/2005,Nam,0791052005268,"2/3 Trường Sa, Q.Phú Nhuận, TP.HCM",Hà Nội,11/05/2024,Cục CS QLHC về TTXH,cls-2025-03-03-1,A1,fee-a1,promo-link,365000,true,u-1,br-1,23/02/2025 13:00:42,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
hv-058,HV058,Sơn Tùng M-TP,058 580 926,15/03/1996,Nam,0790968795167,"114/14 Nguyễn Trãi, Q.4, TP.HCM",Thanh Hóa,13/05/2024,Cục CS QLHC về TTXH,cls-2025-03-03-1,A1,fee-a1,promo-none,565000,false,u-1,br-1,14/03/2025 16:48:20,true,true,false,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
hv-059,HV059,Đông Nhi,036 529 889,24/11/1989,Nữ,0790893812936,"194/28 Lê Lợi, Q.Tân Phú, TP.HCM",Khánh Hòa,24/09/2021,Cục CS QLHC về TTXH,cls-2025-03-04-1,A,fee-a,promo-none,1995000,false,u-2,br-1,13/02/2025 10:06:10,true,true,true,true,Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Sang số chân còn nặng. Đang cải thiện.
hv-060,HV060,Sadio Mané,036 660 409,02/02/1998,Nam,0790984356806,"78/26 Phạm Văn Đồng, H.Bình Chánh, TP.HCM",Bình Dương,05/07/2018,Cục CS QLHC về TTXH,cls-2025-03-04-1,A,fee-a,promo-none,1995000,true,u-1,br-1,04/03/2025 10:17:27,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Kỹ năng phanh trước tốt, đã làm chủ trên dốc."
hv-061,HV061,Vũ Cát Tường,084 191 369,21/12/1994,Nam,0790941731746,"133/6 Phạm Văn Đồng, Q.7, TP.HCM",Bạc Liêu,02/03/2024,Cục CS QLHC về TTXH,cls-2025-03-04-1,A1,fee-a1,promo-link,365000,true,u-2,br-1,12/03/2025 17:53:28,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Đã hoàn thành 3 buổi sa hình, đạt yêu cầu."
hv-062,HV062,Jeon Jungkook,038 423 154,25/10/2005,Nam,0791057194907,"271/4 Cách Mạng Tháng 8, Q.Tân Phú, TP.HCM",Quảng Ngãi,24/05/2020,Cục CS QLHC về TTXH,cls-2025-03-04-1,A1,fee-a1,promo-none,565000,false,u-2,br-1,07/03/2025 16:41:44,true,true,false,false,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
hv-063,HV063,Hồ Ngọc Hà,090 498 950,08/01/1994,Nữ,0790947635959,"185/23 Cộng Hòa, Q.Thủ Đức, TP.HCM",Lâm Đồng,04/10/2022,Cục CS QLHC về TTXH,cls-2025-03-04-1,A1,fee-a1,promo-none,565000,true,u-1,br-1,11/03/2025 15:23:58,true,true,true,true,"Đóng đủ ngay lúc đăng ký. Tinh thần tốt. Số 2 và số 3 tự tin, sang số mượt."
